P,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,group,Q57,correct,sound solution,issue_number
,Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,,Which of the following skills do you think you need to solve this issue?,,,
,"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}",,"{""ImportId"":""QID102""}",,,
P0,10/6/22 15:01,10/6/22 16:22,IP Address,134.114.101.49,100,4896,TRUE,10/6/22 16:22,R_2Vjy0uinQde0zjf,,,,,351.872,-1.116.596,anonymous,EN,Control,,0,0,5679
P1,10/14/22 11:13,10/14/22 12:17,IP Address,76.174.176.43,100,3841,TRUE,10/14/22 12:17,R_3qDz5dSBkoy0g39,,,,,339.705,-1.184.308,anonymous,EN,Treatment,,1,1,5485
P2,10/18/22 15:56,10/18/22 17:11,IP Address,134.114.101.51,100,4479,TRUE,10/18/22 17:11,R_31SLYqNzUZ8b41j,,,,,351.872,-1.116.596,anonymous,EN,Control,,0,0,4612
P3,10/18/22 17:12,10/18/22 18:11,IP Address,134.114.101.51,100,3511,TRUE,10/18/22 18:11,R_3dRL71BWQjWRGrY,,,,,351.872,-1.116.596,anonymous,EN,Treatment,,0,1,5194
P4,10/20/22 13:19,10/20/22 15:23,IP Address,134.114.101.50,100,7488,TRUE,10/20/22 15:23,R_2ZQhv37EAvccQJa,,,,,351.872,-1.116.596,anonymous,EN,Control,"User Interface (UI),Testing",0,0,4612
P5,10/20/22 16:12,10/20/22 17:04,IP Address,134.114.101.50,100,3120,TRUE,10/20/22 17:04,R_3oLwQInqRH3U7YX,,,,,351.872,-1.116.596,anonymous,EN,Treatment,"User Interface (UI),Testing,Network Development,Input and Output",0,1,5069
P6,10/20/22 18:20,10/21/22 14:25,IP Address,107.77.230.39,100,72301,TRUE,10/21/22 14:25,R_BYal1T7rEK4ltUB,,,,,341.004,-1.182.946,anonymous,EN,Control,"Testing,Google Common",0,0,5485
P7,10/21/22 14:30,10/21/22 18:21,IP Address,134.114.101.52,100,13861,TRUE,10/21/22 18:21,R_115TP9QJM6Yqsrq,,,,,351.872,-1.116.596,anonymous,EN,Treatment,"Logging,Testing,Input and Output",0,1,5485
P8,10/22/22 11:17,10/25/22 18:17,IP Address,134.114.101.51,100,284384,TRUE,10/25/22 18:17,R_2zNKcfVhvxRczWf,,,,,351.872,-1.116.596,anonymous,EN,Treatment,"User Interface (UI),Logging,Testing,Input and Output",1,1,5485
P9,10/27/22 16:05,10/27/22 17:19,IP Address,134.114.101.51,100,4487,TRUE,10/27/22 17:19,R_1OGBpURBy94DDnB,,,,,351.872,-1.116.596,anonymous,EN,Control,"User Interface (UI),Testing",0,1,5069
P10,11/1/22 13:57,11/1/22 17:17,IP Address,134.114.101.49,100,12001,TRUE,11/1/22 17:17,R_2OZ6sYdSgZpAvVG,,,,,351.872,-1.116.596,anonymous,EN,Control,"User Interface (UI),Testing,Network Development",0,0,4612
P11,11/1/22 18:00,11/1/22 19:06,IP Address,134.114.101.49,100,3975,TRUE,11/1/22 19:06,R_1mJJup3rJEEb0mF,,,,,351.872,-1.116.596,anonymous,EN,Treatment,"User Interface (UI),Logging,Testing,Input and Output",0,1,5069
P12,11/1/22 19:08,11/3/22 15:08,IP Address,134.114.101.51,100,158434,TRUE,11/3/22 15:08,R_2bTvIJb03tVa0EH,,,,,351.872,-1.116.596,anonymous,EN,Treatment,"Logging,Input and Output",0,1,5679
